project_id,project_name,programming_language,module_name,lines_of_code,code_smell_type,severity_level,refactoring_applied,refactoring_type,maintainability_score,bug_density,review_date
1,Learning Management System,JavaScript,Module_114,694,God Class,High,Yes,Rename Variable,2.92,6.14,2020-01-01
2,Ride Sharing App,Go,Module_186,3009,Duplicate Code,Medium,No,Replace Magic Number,1.84,2.83,2020-01-02
3,E-Commerce App,Go,Module_164,2919,Spaghetti Code,High,Yes,Replace Magic Number,5.33,8.33,2020-01-03
4,Social Media App,JavaScript,Module_295,3044,Dead Code,Low,Yes,Rename Variable,7.27,2.59,2020-01-04
5,Learning Management System,JavaScript,Module_3,2570,Magic Numbers,Critical,No,Replace Magic Number,2.27,13.81,2020-01-05
6,Ride Sharing App,C#,Module_41,720,Large Class,High,No,Rename Variable,9.07,11.74,2020-01-06
7,E-Commerce App,Java,Module_84,4700,Magic Numbers,Medium,No,Move Method,2.27,7.85,2020-01-07
8,Banking System,Go,Module_191,4718,Duplicate Code,Low,Yes,Extract Method,4.52,7.82,2020-01-08
9,Social Media App,C++,Module_212,4361,Duplicate Code,High,Yes,Remove Dead Code,4.16,12.1,2020-01-09
10,Inventory Management,C#,Module_225,2712,Long Method,Low,No,Inline Method,3.97,9.12,2020-01-10
11,Banking System,Java,Module_207,2470,Dead Code,Medium,No,Split Class,4.06,3.77,2020-01-11
12,Social Media App,JavaScript,Module_268,1477,Dead Code,Critical,Yes,Remove Dead Code,9.11,10.85,2020-01-12
13,Ride Sharing App,C++,Module_250,1859,Dead Code,Critical,No,Inline Method,3.0,3.16,2020-01-13
14,Ride Sharing App,C#,Module_101,3655,Magic Numbers,Low,Yes,Remove Dead Code,1.41,7.4,2020-01-14
15,Banking System,Go,Module_226,3437,Magic Numbers,Critical,Yes,Rename Variable,7.23,10.08,2020-01-15
16,Social Media App,C++,Module_126,3944,Large Class,Medium,No,Split Class,5.84,1.31,2020-01-16
17,Inventory Management,Python,Module_89,2583,God Class,High,Yes,Split Class,6.38,2.81,2020-01-17
18,E-Commerce App,Java,Module_23,2704,Feature Envy,High,No,Move Method,7.32,2.96,2020-01-18
19,Inventory Management,Python,Module_53,2753,Long Method,Critical,No,Inline Method,4.11,12.01,2020-01-19
20,Healthcare Platform,Python,Module_268,3634,Long Method,Low,Yes,Move Method,3.36,13.25,2020-01-20
21,Healthcare Platform,Python,Module_242,2116,Long Method,Medium,No,Replace Magic Number,8.77,8.54,2020-01-21
22,Banking System,Python,Module_177,231,Duplicate Code,High,Yes,Move Method,9.07,6.45,2020-01-22
23,Learning Management System,JavaScript,Module_130,1222,Feature Envy,Low,No,Move Method,4.31,1.21,2020-01-23
24,Learning Management System,Python,Module_115,1934,Feature Envy,Medium,No,Inline Method,6.75,11.71,2020-01-24
25,E-Commerce App,Go,Module_148,280,Magic Numbers,Critical,No,Extract Method,1.55,1.91,2020-01-25
26,Inventory Management,C#,Module_239,306,Feature Envy,Low,Yes,Extract Method,5.14,5.45,2020-01-26
27,E-Commerce App,Java,Module_64,246,Spaghetti Code,High,Yes,Remove Dead Code,4.81,9.79,2020-01-27
28,E-Commerce App,Go,Module_185,722,Spaghetti Code,Critical,Yes,Split Class,5.94,0.37,2020-01-28
29,E-Commerce App,JavaScript,Module_8,466,Long Method,Critical,No,Remove Dead Code,9.15,10.5,2020-01-29
30,E-Commerce App,Java,Module_225,3684,Duplicate Code,Medium,Yes,Extract Method,2.7,13.64,2020-01-30
31,Inventory Management,C++,Module_288,2192,God Class,Medium,Yes,Inline Method,1.57,10.57,2020-01-31
32,E-Commerce App,Go,Module_194,4925,Magic Numbers,High,No,Split Class,4.21,6.93,2020-02-01
33,Learning Management System,JavaScript,Module_129,3606,Duplicate Code,Low,No,Remove Dead Code,6.68,11.94,2020-02-02
34,Healthcare Platform,Python,Module_252,2964,Large Class,Critical,Yes,Move Method,9.81,12.49,2020-02-03
35,Social Media App,C++,Module_219,3923,Feature Envy,Low,Yes,Replace Magic Number,5.04,11.07,2020-02-04
36,Social Media App,C#,Module_228,973,God Class,Low,No,Replace Magic Number,8.88,3.41,2020-02-05
37,Ride Sharing App,Python,Module_230,1052,Long Method,High,Yes,Extract Method,9.51,7.1,2020-02-06
38,Social Media App,Python,Module_75,4359,Duplicate Code,Low,Yes,Replace Magic Number,8.6,2.98,2020-02-07
39,Ride Sharing App,Python,Module_295,398,Feature Envy,Low,Yes,Remove Dead Code,9.8,14.24,2020-02-08
40,Social Media App,Python,Module_115,2924,Feature Envy,Low,No,Rename Variable,6.56,12.71,2020-02-09
41,Banking System,Go,Module_45,736,Dead Code,Medium,No,Split Class,5.41,11.14,2020-02-10
42,Social Media App,Java,Module_60,2619,Magic Numbers,Medium,Yes,Move Method,7.66,2.1,2020-02-11
43,Healthcare Platform,C++,Module_203,3438,God Class,High,Yes,Rename Variable,9.04,11.17,2020-02-12
44,Banking System,Go,Module_244,4043,Feature Envy,High,No,Rename Variable,3.85,11.23,2020-02-13
45,Learning Management System,C#,Module_130,1863,Magic Numbers,Low,Yes,Split Class,1.99,4.69,2020-02-14
46,Ride Sharing App,Java,Module_129,3078,Spaghetti Code,High,Yes,Remove Dead Code,7.84,10.14,2020-02-15
47,Healthcare Platform,Java,Module_127,4133,Duplicate Code,Critical,No,Remove Dead Code,4.94,9.36,2020-02-16
48,E-Commerce App,C++,Module_228,191,Duplicate Code,Critical,No,Replace Magic Number,6.84,6.92,2020-02-17
49,Inventory Management,Java,Module_165,3387,Large Class,Low,Yes,Extract Method,3.21,5.21,2020-02-18
50,Banking System,C#,Module_72,4395,Long Method,Medium,Yes,Rename Variable,4.95,2.38,2020-02-19
51,Inventory Management,C++,Module_262,4194,Large Class,High,Yes,Rename Variable,3.59,11.67,2020-02-20
52,Healthcare Platform,Python,Module_15,4066,Magic Numbers,Medium,Yes,Extract Method,4.3,7.49,2020-02-21
53,Learning Management System,Java,Module_151,769,Dead Code,High,No,Move Method,2.46,14.75,2020-02-22
54,Banking System,Go,Module_44,3939,Duplicate Code,Critical,No,Split Class,7.97,12.01,2020-02-23
55,Banking System,Java,Module_167,3864,God Class,High,Yes,Remove Dead Code,6.67,2.81,2020-02-24
56,E-Commerce App,Java,Module_86,1844,Long Method,High,No,Inline Method,7.7,1.24,2020-02-25
57,Inventory Management,C#,Module_37,1780,Large Class,Medium,No,Remove Dead Code,3.73,3.66,2020-02-26
58,Healthcare Platform,Go,Module_60,1707,God Class,High,Yes,Extract Method,7.53,0.38,2020-02-27
59,Healthcare Platform,Python,Module_96,1963,God Class,High,Yes,Replace Magic Number,7.0,11.62,2020-02-28
60,Social Media App,C#,Module_22,810,God Class,High,No,Inline Method,5.69,1.1,2020-02-29
61,Inventory Management,C#,Module_291,1065,Magic Numbers,High,Yes,Extract Method,9.87,5.17,2020-03-01
62,E-Commerce App,Java,Module_281,1874,Feature Envy,Low,No,Move Method,6.06,3.91,2020-03-02
63,Banking System,C++,Module_11,4432,Duplicate Code,Medium,Yes,Split Class,8.52,5.77,2020-03-03
64,Social Media App,JavaScript,Module_91,263,Magic Numbers,Medium,Yes,Move Method,2.16,5.0,2020-03-04
65,Ride Sharing App,C#,Module_193,3087,Duplicate Code,High,Yes,Move Method,7.02,8.22,2020-03-05
66,Ride Sharing App,JavaScript,Module_258,2540,Dead Code,High,No,Inline Method,4.62,12.81,2020-03-06
67,E-Commerce App,C#,Module_30,4584,God Class,High,No,Replace Magic Number,3.5,14.93,2020-03-07
68,Ride Sharing App,Go,Module_193,4181,Duplicate Code,Critical,No,Remove Dead Code,4.12,0.49,2020-03-08
69,Healthcare Platform,Java,Module_131,88,Spaghetti Code,Medium,No,Replace Magic Number,3.92,14.08,2020-03-09
70,Social Media App,Python,Module_132,3804,Duplicate Code,Low,No,Extract Method,2.43,11.94,2020-03-10
71,Banking System,C#,Module_105,2259,God Class,Critical,No,Replace Magic Number,6.38,10.21,2020-03-11
